event_name,gem_level,moves,damage,time_remaining
lost_in_time,0,c00c01c02c10c11c03r10c12r00r01c20c21t21c04r11c05c30c13c31s00c22c14r20r02c06c32c33c23c15c16c24c40s01c50c51t20c07c52t21r30c34r12c60t61c61c62c08c63t51t60c64t50c09c65c66t61c25r03r21c67c35t60s02t61c36c17c41t20c26c18s03t21s04t60c53t61c19d00c27t60d01t20c37t61c38t21c39t60t20c42t61c43c54c44c55t21t60d02d03d04c45c46t20c47c48c49t21t61c70c71c72c73t20c74c75c76c77c78t11d05c56t60t51c57t21c79t31c58t01c59w00,8411355751,-12379
lost_in_time,1,c00c01c02c10c11c03r10c12c20t21c21r00r01r11c04c30c31c13s00c22c05r20r02c32c33c06c23c14c24c15c40c50c51r03s01t20r30c07c52t21c34c60c61c62t61c08c09c25c16c63c64t20r21t60c65t21c66t61c35t60c36t20s02t61c17r12c18s03t21t60s04t61c19t20c37t21c38t20c39c26t21c27t60c67t61c53t20c54t60c41c55t61c56t60c57t21c58t20c59c42t61c43c44d00t21t60d01d02t20t51c45t50t61c46t21d03t51d04t60c47t20t61c48c49t21c70t20c71t11c72c73t10c74t11t50c75t10t21t51c76t11t20t60c77c78t01c79t31t61d05w00,11240846279,9668
other_tower,0,c00c01c02c10c03c11r10c12c04r00c13r01r11c20c14s00c21c05c06c30c31r20c15c07c16r12r13c32c33r02c40c34c17r03c41s01r21r04c22s02s03c23c35c24c18c36c37r14c08c25c38c50c51c52c09c53c54c55d00c56c57c58d01c59d02c42c43c26c27c28c44c45c46c47c48c49c39c29s04c19r22d03w00,364987588996,13708
sid_in_space,0,c00c01c02c10c11c03r10c12r00c13r01r11c04c20c14s00c30c21c31r20c15c16r12c32c33c05c06c40c07c17c41r02d00c50c51s01c52c18c34c35c19c36r21c53c54r22s02c55r03c37c56c57r04c58d01s03c59s04c22d02c23c24c25c26d03c27r13c42c43c44c45c28c29c46c47c48c49c38c39c08c09r30r31w00,5018650358274,335
happy_time,0,c00c10c11c12c20c13r10c21r00c14c22c23r01r11c30s00c24c31c01c40c41c42c15c16r20c17r12r02r03c43c25c50c26c32c51c33c60c61c34d00s01c62c18c19c44c45r21c63c64s02c65c02s03s04c03r30c46c47c04c05d01c06c66c48c35c36d02d03c52c53c54d04c67d05c07c08c09c27c55c56c57c49c28c58c59c37c38c39c29c68c69w00,5202545725,3302
lost_in_time,0,c00c01c02c10c11c03r10c12r00r01c20c21t21c04r11c30s00c13c31c05c22c14r20r02c06c32c33c23c15c16c24c07c40s01c50c51t20c52t21r30r12c08r03c60t61c61c62c63t60c64c09c65t61c66c25c67d00r21t60c34t61c35t60c36s02t61c17t20c26c53c41s03s04c27t60c37t61c18c38c39c19c54d01c55c56c57c42c43c44t60c45t21d02t20t61c46c47t60d03c48d04c49t21c58t61c59t51c70c71t20c72c73c74c75t21c76t11t20t60c77c78t01c79t31t61d05w00,8569500467,-11146
lost_in_time,1,c00c01c02c10c11c03r10c12c20t21c21r00r01r11c04c30c31c13s00c22c05r20r02c14c23c06c32c33c15c16c24c40s01c50r03c51t20c52r30t21c07r12c08c60t61c61c62c09c63t60c64c25c65t61c66r21t60c67s02c34t61c35c26c36c17c18t20s03s04c53c41c54t60c37c19t61c38t60c55t61c42c56c57c27t60c58d00c43t21c44c59c45c46c47d01d02d03t20d04t51c48t61c49t21c70t11t20c71c72c73t10c74c75c76t11t60c77c78t01c79t31t61c39d05w00,11240713915,9667
lost_in_time,1,c00c01c02c10c11c03r10c12c20t21c21r00r01r11c04c30c31c13s00c22c05r20r02c14c23c06c32c33c15c16c24c40s01c50r03c51t20c07c52r30t21c08r12c60t61c61c62c63c64c09c25t60c65t61c66r21t60c67t20s02t61c34c17c26s03t21s04c35c36c27c53t20c18c54c19t60c41c37t61c38t60c39c55t61c42c56t60c57c58d00c43c44c59t21c45t20t61c46c47t21d01d02d03t20d04t51t60d05c48t11t61c49t10c70t11c71t21c72c73c74t31c75c76t20t60c77c78t01c79w00,11274940230,9934
lost_in_time,1,c00c01c02c10c11c03r10c12c20t21c21r00r01r11c04c30c31c13s00c22c05r20r02c14c23c06c32c33c15c16c24c40s01c50r03c51t20c07c52r30c08t21r12c60t61c61c62c63c64c09t60c25c65t61c66r21t60s02c67t61c17t20c34c26s03t21s04c35c36c18c41c19t60c37t61c38c39t20c53c27c54t60c55t61c42c56c57c43c44t60c45c58t21c46c47c48d00d01d02t20d03t51d04c59t61c49c70t21c71c72c73c74t20t31c75c76c77t11c78t01d05t60c79w00,11195042004,9312
lost_in_time,1,c00c01c02c10c11c03r10c12c20t21c21r00r01r11c04c30c31c13s00c22c05r20r02c14c23c06c32c33c15c16c24c40s01c50r03c51t20c07c52t21r30c08r12c60t61c61c62c09c63c64c25t60c65t61c66r21t60c67s02c34t61c35c26t20c36c17s03s04c37c38c39c53c54c18c27c19c55c56c57c41c42c43c44t60d00c45c46c47d01c48c49t21d02t61d03d04t20t60d05c58t51c59t21t61c70t11t20c71c72c73t21c74t31c75c76t20t60c77c78t01c79w00,11244757778,9699
